GEOID,visits_after,Population,White,Black,income_median,households,number_devices_residing,tp,wind_speed,total_storm,coastal,Elevation,innun,visits,ratio,white_per_population,income_group
220659601001,4,915,782,99,37039.0,357,115.0,140.85142973065376,24.78755626008616,0.0,0.0,0.0,0.0,3.3333333333333335,1.2,0.8546448087431694,1
220530003004,25,1304,985,266,22072.0,517,98.0,427.4999948740006,44.51511765914262,0.0,0.0,0.0,0.0,11.333333333333334,2.205882352941176,0.7553680981595092,1
220530006001,8,918,561,231,21667.0,366,82.0,377.1323208844968,42.516862841045246,0.0,0.0,0.0,0.0,8.0,1.0,0.6111111111111112,1
221179504003,48,1978,1254,652,33257.0,729,128.0,182.12857027351856,27.44694735008349,0.0,0.0,0.0,0.0,35.0,1.3714285714285714,0.6339737108190091,1
220510261002,13,2228,664,1393,31591.0,870,111.0,118.4127600185756,34.85691088202838,2.91350605135,1.0,-0.69513935,3.6086454013500004,7.0,1.8571428571428572,0.2980251346499102,1
220619601002,12,882,707,175,32229.0,420,74.0,232.249996162951,26.286354549771904,0.0,0.0,0.0,0.0,21.0,0.5714285714285714,0.8015873015873016,1
220619605002,17,835,554,261,18941.0,460,131.0,258.38772332072926,26.962885856764174,0.0,0.0,0.0,0.0,17.333333333333332,0.9807692307692308,0.6634730538922156,1
220619610003,11,1786,1031,692,39205.0,743,133.0,254.11800169823695,26.405441010833663,0.0,0.0,0.0,0.0,8.666666666666666,1.2692307692307694,0.5772676371780515,1
220570212002,16,1315,949,137,37072.0,491,89.0,117.88469302654266,35.069597455474586,2.50283966749,1.0,-0.10223627,2.60507593749,14.0,1.1428571428571428,0.7216730038022814,1
220170239051,22,2721,1242,1143,36719.0,1351,233.0,146.79999780654907,19.972728892563087,0.0,0.0,0.0,0.0,21.333333333333332,1.03125,0.4564498346196251,1
220550019033,4,3133,1623,1155,33106.0,1058,130.0,280.2000029683113,35.045604281363694,0.0,0.0,0.0,0.0,21.666666666666668,0.1846153846153846,0.5180338333865305,1
220550019053,30,2491,1623,854,39496.0,851,115.0,248.70000591874123,35.04850781537528,5.29537024199,1.0,5.6355953,-0.3402250580100006,40.666666666666664,0.7377049180327869,0.6515455640305098,1
220550020011,12,1649,1339,277,24833.0,640,116.0,257.2000038921833,35.640113384286714,0.0,0.0,0.0,0.0,26.333333333333332,0.4556962025316456,0.8120072771376592,1
221030411031,12,1250,634,459,35076.0,462,118.0,176.43447600249266,32.06746010028687,2.7284926227,1.0,3.1866724,-0.4581797772999998,19.333333333333332,0.6206896551724138,0.5072,1
221139510013,43,2432,2231,52,39688.0,870,151.0,206.50000274181366,34.02855674621417,5.29537024199,1.0,2.2486882,3.0466820419899996,33.0,1.303030303030303,0.9173519736842105,1
220550018021,4,1127,806,235,33929.0,468,73.0,283.4543543822489,34.491833174979774,0.0,0.0,0.0,0.0,1.3333333333333333,3.0,0.7151730257320319,1
220510278091,12,2522,1361,527,35221.0,628,106.0,126.00148923613713,35.19784818627901,2.91350605135,1.0,0.6985837,2.2149223513500003,18.666666666666668,0.6428571428571428,0.5396510705789056,1
220510202021,4,2519,1469,483,33468.0,1103,81.0,123.32069541156834,33.400669234110616,2.91350605135,1.0,-1.773411,4.68691705135,4.0,1.0,0.5831679237792775,1
220170205002,4,1584,139,1435,30781.0,579,90.0,109.73908122148198,19.149072245727435,0.0,0.0,0.0,0.0,8.0,0.5,0.08775252525252525,1
221159507032,8,2263,1371,473,36797.0,1015,82.0,355.30000054836273,34.24761065974935,0.0,0.0,0.0,0.0,2.6666666666666665,3.0,0.6058329650905877,1
220170246011,0,3157,464,2693,21646.0,1006,93.0,75.69999933242798,18.76226053863618,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.14697497624326894,1
220190036001,8,933,846,87,39875.0,421,83.0,362.19375878572464,33.59159335545376,0.0,0.0,0.0,0.0,7.0,1.1428571428571428,0.9067524115755627,1
220190001001,12,1066,500,525,21910.0,569,73.0,436.67991504887027,42.10810446297271,0.0,0.0,0.0,0.0,14.0,0.8571428571428571,0.46904315196998125,1
220050310001,18,1224,455,676,29809.0,275,79.0,111.43333416432142,28.951208152946915,0.0,0.0,0.0,0.0,5.333333333333333,3.375,0.37173202614379086,1
220170230002,4,1833,1331,464,38878.0,1055,124.0,150.73903008963393,19.8238035692272,0.0,0.0,0.0,0.0,1.3333333333333333,3.0,0.7261320240043644,1
221059540011,34,3065,1793,1161,23997.0,1041,420.0,122.80000165104866,28.460912241594503,0.0,0.0,0.0,0.0,26.666666666666668,1.275,0.5849918433931485,1
220690008005,26,1172,1049,83,23103.0,504,113.0,315.56666803359985,29.157272501342277,0.0,0.0,0.0,0.0,24.333333333333332,1.0684931506849316,0.8950511945392492,1
220690008001,12,379,365,14,30972.0,181,67.0,295.23571729660034,30.6576248702508,0.0,0.0,0.0,0.0,11.333333333333334,1.0588235294117647,0.9630606860158312,1
220890627001,12,1538,656,882,36392.0,719,90.0,159.40000349283218,32.4062217191329,0.0,0.0,0.0,0.0,9.333333333333334,1.2857142857142856,0.4265279583875163,1
220290004005,12,632,412,196,36949.0,279,79.0,140.02656819038845,28.06454770905013,0.0,0.0,0.0,0.0,2.6666666666666665,4.5,0.6518987341772152,1
220450304005,31,1675,1475,131,38723.0,601,139.0,204.60000598430634,32.91292765403217,5.40108707095,1.0,2.1380653,3.26302177095,29.333333333333332,1.0568181818181819,0.8805970149253731,1
220990205011,23,2901,1582,1135,27274.0,959,125.0,287.3000031709671,33.61666657482716,0.0,0.0,0.0,0.0,20.666666666666668,1.1129032258064515,0.5453291968286798,1
220450304004,21,2736,1136,1256,27807.0,818,153.0,215.79999721050262,32.62988642851139,5.40108707095,1.0,4.4381413,0.9629457709500002,24.666666666666668,0.8513513513513513,0.4152046783625731,1
220450312002,5,2367,1092,846,34778.0,892,131.0,210.59999799728394,32.405804840675096,5.40108707095,1.0,4.6010427,0.8000443709500002,10.0,0.5,0.46134347275031684,1
220190006002,8,1041,81,886,23882.0,363,82.0,458.78067994732567,42.292924291973456,0.0,0.0,0.0,0.0,9.666666666666666,0.8275862068965518,0.07780979827089338,1
220170233002,0,978,0,956,14081.0,348,68.0,110.71330077641903,19.497504522615685,0.0,0.0,0.0,0.0,0.0,,0.0,1
220170245041,46,2268,2140,57,38244.0,852,227.0,84.33333303965628,17.93745995735161,0.0,0.0,0.0,0.0,47.666666666666664,0.9650349650349651,0.9435626102292769,1
220170211002,0,1021,255,640,19321.0,369,92.0,122.92321902280786,19.49983057077064,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.24975514201762977,1
220170212002,0,904,531,308,31568.0,347,71.0,122.74333333852634,19.54308121684126,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.5873893805309734,1
