GEOID,visits_after,Population,White,Black,income_median,households,number_devices_residing,tp,wind_speed,total_storm,coastal,Elevation,innun,visits,ratio,white_per_population,race_group
220950701001,25,1587,785,785,63958.0,571,78.0,131.4000023007393,31.6160686309435,0.0,0.0,0.0,0.0,27.666666666666668,0.9036144578313252,0.49464398235664775,1
220950705001,40,2040,152,1727,45682.0,714,79.0,147.60000097751617,30.76889354001761,0.0,0.0,0.0,0.0,27.333333333333332,1.4634146341463414,0.07450980392156863,1
220710137004,16,843,22,799,25865.0,357,205.0,130.7871461009091,33.69733562104103,2.91350605135,1.0,-0.62631565,3.53982170135,9.333333333333334,1.7142857142857142,0.02609727164887307,1
220710033042,4,1338,89,1197,29271.0,461,111.0,131.64674788685957,33.52900317586464,2.91350605135,1.0,-1.5877948,4.50130085135,25.0,0.16,0.06651718983557549,1
221210204012,87,2507,1240,1228,57296.0,812,139.0,158.89999961853027,29.839664039658437,0.0,0.0,0.0,0.0,50.0,1.74,0.4946150777822098,1
220930401001,54,2957,1671,1251,65208.0,953,130.0,157.60000228881836,29.87365124083969,0.0,0.0,0.0,0.0,77.66666666666667,0.6952789699570815,0.5650997632735881,1
221090001011,44,1279,337,942,31068.0,479,106.0,96.9000015258789,31.061842185778406,0.0,0.0,0.0,0.0,51.333333333333336,0.8571428571428571,0.26348709929632524,1
221090006006,43,939,364,553,,298,71.0,185.30906792392352,32.99889395476469,0.0,0.0,0.0,0.0,30.333333333333332,1.4175824175824177,0.3876464323748669,1
221090013004,59,4547,2506,1274,33214.0,922,154.0,229.00000607967377,33.36013603108712,0.0,0.0,0.0,0.0,58.333333333333336,1.0114285714285713,0.5511326149109302,1
221090017003,92,1559,807,346,87005.0,629,151.0,112.1746190641108,32.27944518618626,0.0,0.0,0.0,0.0,75.33333333333333,1.2212389380530975,0.517639512508018,1
221090008005,73,800,433,238,23438.0,414,115.0,175.79999899864197,33.00579528321284,0.0,0.0,0.0,0.0,40.0,1.825,0.54125,1
220990205022,99,3535,1971,1416,45756.0,1076,156.0,247.3999971151352,33.17666648880387,0.0,0.0,0.0,0.0,114.33333333333333,0.8658892128279884,0.5575671852899575,1
221090001012,106,2368,1200,663,35625.0,843,203.0,87.89999914169312,30.99035939408464,0.0,0.0,0.0,0.0,77.0,1.3766233766233766,0.5067567567567568,1
221259517021,27,3780,1236,2322,58125.0,136,53.0,252.53636913001537,32.102195324816286,0.0,0.0,0.0,0.0,33.333333333333336,0.8099999999999999,0.326984126984127,1
221259517012,38,2568,534,1979,44960.0,791,76.0,197.77856992185116,30.930788262998107,0.0,0.0,0.0,0.0,28.0,1.3571428571428572,0.20794392523364486,1
221090001022,111,2440,1408,724,66477.0,792,147.0,121.44525282652219,31.558672724095057,0.0,0.0,0.0,0.0,84.66666666666667,1.311023622047244,0.5770491803278689,1
221090004012,35,1024,578,326,66389.0,338,75.0,119.86843345030019,32.368684722633326,0.0,0.0,0.0,0.0,36.666666666666664,0.9545454545454546,0.564453125,1
221090014003,62,1782,1000,552,33234.0,555,88.0,127.83333641290665,32.69150241310451,0.0,0.0,0.0,0.0,39.666666666666664,1.5630252100840336,0.5611672278338945,1
220710006061,21,1176,583,532,67976.0,508,78.0,113.61868774540602,34.3454616583029,2.91350605135,1.0,1.122352,1.7911540513500002,17.666666666666668,1.1886792452830188,0.4957482993197279,1
221090016001,55,964,531,433,51921.0,327,103.0,83.64285671710968,31.211506063708114,4.61941230522,1.0,0.26766205,4.35175025522,57.333333333333336,0.9593023255813953,0.5508298755186722,1
221090008004,46,1286,646,431,18920.0,625,105.0,170.43626543662637,32.916674291681964,0.0,0.0,0.0,0.0,46.666666666666664,0.9857142857142858,0.5023328149300156,1
221090005005,22,828,224,191,28667.0,290,68.0,117.72220115979083,32.49958497282568,0.0,0.0,0.0,0.0,29.666666666666668,0.7415730337078651,0.27053140096618356,1
220710006121,27,2043,993,748,170278.0,568,87.0,119.69999897480011,34.66238276902468,2.91350605135,1.0,0.36900294,2.54450311135,17.333333333333332,1.5576923076923077,0.48604992657856094,1
220710025042,4,781,193,535,58529.0,248,66.0,133.29030518782872,33.56906636497347,2.91350605135,1.0,-0.18553293,3.09903898135,9.666666666666666,0.4137931034482759,0.2471190781049936,1
220710031002,4,844,28,805,27222.0,330,80.0,132.86471241282578,33.82011619449964,2.91350605135,1.0,-0.750064,3.6635700513500002,9.333333333333334,0.42857142857142855,0.03317535545023697,1
220930402002,11,280,70,210,78148.0,126,50.0,145.2023016382717,29.918181251191083,0.0,0.0,0.0,0.0,13.333333333333334,0.825,0.25,1
221210202002,36,1945,434,1511,44957.0,825,86.0,171.69999971985817,29.86619396600048,0.0,0.0,0.0,0.0,41.666666666666664,0.8640000000000001,0.22313624678663238,1
220710006182,52,2388,442,1855,61343.0,799,79.0,112.10557390974337,34.70328607694071,2.91350605135,1.0,-1.5999571,4.51346315135,20.0,2.6,0.18509212730318259,1
221179503002,47,1857,1021,814,48810.0,668,86.0,202.50000016763806,27.448502387484517,0.0,0.0,0.0,0.0,58.333333333333336,0.8057142857142857,0.5498115239633818,1
221059541011,32,2044,745,1171,35000.0,696,127.0,128.21439551384216,28.54874000502569,0.0,0.0,0.0,0.0,25.333333333333332,1.2631578947368423,0.36448140900195697,1
221059543003,24,1191,0,1191,,360,99.0,123.41989896083783,28.61802149249733,0.0,0.0,0.0,0.0,13.666666666666666,1.7560975609756098,0.0,1
220690007001,12,623,67,556,25500.0,204,62.0,360.6873942370427,28.96069370383893,0.0,0.0,0.0,0.0,17.666666666666668,0.6792452830188679,0.10754414125200643,1
220690006004,65,3913,1465,2289,20925.0,1098,147.0,351.900004863739,28.456285770338862,0.0,0.0,0.0,0.0,59.333333333333336,1.095505617977528,0.3743930488116535,1
220510251032,38,1113,584,324,86875.0,298,67.0,114.31784898338191,34.965275527054,2.91350605135,1.0,-1.1187556,4.03226165135,24.0,1.5833333333333333,0.5247079964061097,1
